library,folder,tracks,artist_count,albumartist_count,album_count,date_count,candidate_reason,quality_score,issue_count,flags
CONTEMPORARY,/data/Music/CONTEMPORARY/Pink Floyd/Unknown Album,13,1,0,0,1,unknown_album_folder;missing_album_tag,18,49,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Police/Unknown Album,5,1,0,0,0,unknown_album_folder;missing_album_tag,13,21,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Portishead & DJ Shadow/Unknown Album,3,2,0,0,0,unknown_album_folder;missing_album_tag,11,14,multiple_artists;missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Portishead/Unknown Album,3,1,0,0,1,unknown_album_folder;missing_album_tag,25,9,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Primal Scream/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,26,3,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Prince/Unknown Album,16,1,0,0,2,unknown_album_folder;missing_album_tag,10,66,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Prodigy/Unknown Album,6,1,1,0,2,unknown_album_folder;missing_album_tag,22,18,missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Public Enemy/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Public Ennemy/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,22,7,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Puff Daddy & The Family/Unknown Album,4,1,0,0,1,unknown_album_folder;missing_album_tag,26,8,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Pulp Fiction/Unknown Album,4,1,0,0,0,unknown_album_folder;missing_album_tag,17,12,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Pulp/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,21,8,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Quantic/Unknown Album,6,2,0,0,1,unknown_album_folder;missing_album_tag,14,23,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Queen & David Bowie/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Queen/Unknown Album,12,1,0,1,1,unknown_album_folder,43,43,missing_albumartist;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/R.E.M_/Unknown Album,7,1,0,0,0,unknown_album_folder;missing_album_tag,13,23,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Radiohead/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,21,8,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Ray Charles/Unknown Album,26,3,0,0,8,unknown_album_folder;missing_album_tag,6,84,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Red Hot Chili Peppers/Unknown Album,35,2,0,0,2,unknown_album_folder;missing_album_tag,6,133,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Red Hot Chili Peppers/Unknown Album (8_19_2005 11_57_38 AM),1,1,1,1,1,unknown_album_folder,70,0,unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Reservoir Dogs/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Righteous Brothers/Unknown Album,4,1,0,0,2,unknown_album_folder;missing_album_tag,18,8,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Rihanna/Unknown Album,10,3,0,0,0,unknown_album_folder;missing_album_tag,9,35,multiple_artists;missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,"/data/Music/CONTEMPORARY/Robbie Williams/Lock, Stock & Two Smoking Barrels",1,0,0,0,0,missing_album_tag,23,6,missing_artist;missing_albumartist;missing_album_tag;missing_date
CONTEMPORARY,/data/Music/CONTEMPORARY/Robbie Williams/Unknown Album,20,1,0,1,5,unknown_album_folder,35,71,missing_albumartist;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Robyn Hitchcock and The Soft Boys,1,1,1,0,0,missing_album_tag,68,3,missing_album_tag;missing_date
CONTEMPORARY,/data/Music/CONTEMPORARY/Robyn/Unknown Album,2,1,0,0,2,unknown_album_folder;missing_album_tag,22,4,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Roxette/Unknown Album,15,1,0,0,2,unknown_album_folder;missing_album_tag,10,45,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Roy Orbison/Unknown Album,8,1,0,0,5,unknown_album_folder;missing_album_tag,10,16,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Saint Germain/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,22,7,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Salsa Sensual MIX/Unknown Album,6,1,0,0,0,unknown_album_folder;missing_album_tag,13,18,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sean Kingston/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,27,7,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Serge Gainsbourg/Unknown Album,7,2,0,0,0,unknown_album_folder;missing_album_tag,9,22,multiple_artists;missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sex Pistols/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Shaggy/Unknown Album,14,1,0,0,2,unknown_album_folder;missing_album_tag,10,49,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sheryl Crow/Unknown Album,6,1,0,0,4,unknown_album_folder;missing_album_tag,14,12,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sia/Unknown Album,2,2,0,0,0,unknown_album_folder;missing_album_tag,17,8,multiple_artists;missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Simon and Garfunkel/Unknown Album,16,3,0,0,4,unknown_album_folder;missing_album_tag,6,46,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Simple Minds/Unknown Album,5,1,0,0,0,unknown_album_folder;missing_album_tag,13,21,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sinéad O'Connor/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,28,6,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Smashing Pumpkins/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,30,4,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Soft Cell/Unknown Album,2,1,1,0,1,unknown_album_folder;missing_album_tag,41,5,missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/SoundCloud,11,4,3,0,0,missing_album_tag,43,47,multiple_artists;multiple_albumartists;missing_album_tag;missing_date
CONTEMPORARY,/data/Music/CONTEMPORARY/Spice Girls/Unknown Album,11,1,0,0,2,unknown_album_folder;missing_album_tag,10,24,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Stan Getz/Unknown Album,2,2,0,0,1,unknown_album_folder;missing_album_tag,24,6,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sting/Unknown Album,3,1,0,0,2,unknown_album_folder;missing_album_tag,18,8,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Stranglers/Unknown Album,1,1,0,0,1,unknown_album_folder;missing_album_tag,32,2,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Style Council/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,21,8,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Sugar Cubes/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,24,5,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Suzanne Vega/Unknown Album,3,1,0,1,1,unknown_album_folder,49,10,missing_albumartist;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Take That/Unknown Album,3,1,0,0,3,unknown_album_folder;missing_album_tag,19,7,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Animals/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Beatles/_                            _,1,1,0,0,0,missing_album_tag,56,3,missing_albumartist;missing_album_tag;missing_date
CONTEMPORARY,/data/Music/CONTEMPORARY/The Beatles/Unknown Album,28,1,0,0,8,unknown_album_folder;missing_album_tag,10,63,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Beautiful South/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,26,3,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Black Eyed Peas/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,26,3,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Cardigans/Unknown Album,2,1,1,0,1,unknown_album_folder;missing_album_tag,40,6,missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Chemical Brothers/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Cinematic Orchestra/Unknown Album,17,1,0,0,0,unknown_album_folder;missing_album_tag,13,69,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Clash/_                            _,1,1,0,0,0,missing_album_tag,56,3,missing_albumartist;missing_album_tag;missing_date
CONTEMPORARY,/data/Music/CONTEMPORARY/The Clash/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,22,7,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Corrs/Unknown Album,5,1,1,0,2,unknown_album_folder;missing_album_tag,23,15,missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Cranberries/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Cure/Unknown Album,11,2,0,1,0,unknown_album_folder,34,45,multiple_artists;missing_albumartist;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/the doors/Unknown Album,10,2,0,0,0,unknown_album_folder;missing_album_tag,9,36,multiple_artists;missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Eagles/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Jam/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Kinks/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,21,8,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Libertines/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Psychedelic Furs/Unknown Album,3,1,1,0,1,unknown_album_folder;missing_album_tag,40,6,missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/the quantic soul orchestra/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,28,6,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Rolling Stones/Unknown Album,22,1,0,0,4,unknown_album_folder;missing_album_tag,10,69,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Specials/Unknown Album,7,1,0,0,1,unknown_album_folder;missing_album_tag,18,28,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Temptation/Unknown Album,1,1,0,0,1,unknown_album_folder;missing_album_tag,32,2,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Temptations/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,21,8,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Verve Pipe/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,30,4,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Verve/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,24,5,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/The Who/Unknown Album,4,1,0,0,0,unknown_album_folder;missing_album_tag,13,16,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Thievery Corporation/Unknown Album,9,1,0,0,0,unknown_album_folder;missing_album_tag,13,33,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Tina Turner/Unknown Album,5,1,1,0,2,unknown_album_folder;missing_album_tag,27,11,missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Tokens/Unknown Album,3,1,0,0,0,unknown_album_folder;missing_album_tag,17,12,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Tom Petty & the Heartbreakers/Unknown Album,4,1,1,0,4,unknown_album_folder;missing_album_tag,30,8,missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Tori Amos/Unknown Album,3,1,0,0,0,unknown_album_folder;missing_album_tag,19,10,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Tracy Ullman/Unknown Album,4,1,0,0,0,unknown_album_folder;missing_album_tag,13,16,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Trainspotting/Unknown Album,5,1,0,0,0,unknown_album_folder;missing_album_tag,13,20,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Tricky/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,26,3,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/U2/Unknown Album,28,1,0,0,3,unknown_album_folder;missing_album_tag,10,86,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Ultravox/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,22,7,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Underworld/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,30,4,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Unknown Artist/Unknown Album,2,0,0,0,0,unknown_album_folder;missing_album_tag,0,5,missing_artist;missing_albumartist;missing_album_tag;missing_date;unknown_album_folder;unknown_artist_folder;metadata_read_error
